admin,confirm,rate,,,,,,,,,,,
China,84430 ,5 ,,,,,,,,,,,
Hong Kong S.A.R.,84430 ,5 ,,,,,,,,,,,
Japan,16490 ,117 ,,,,,,,,,,,
India,62865 ,3387 ,,,,,,,,,,,
South Korea,10874 ,12 ,,,,,,,,,,,
Thailand,3004 ,6 ,,,,,,,,,,,
Singapore,22460 ,709 ,,,,,,,,,,,
Malaysia,6589 ,49 ,,,,,,,,,,,
Vietnam,288 ,3 ,,,,,,,,,,,
Sri Lanka,847 ,22 ,,,,,,,,,,,
Nepal,109 ,6 ,,,,,,,,,,,
Cambodia,122 ,0 ,,,,,,,,,,,
United Arab Emirates,17417 ,542 ,,,,,,,,,,,
Philippines,10610 ,231 ,,,,,,,,,,,
Iran,106220 ,1466 ,,,,,,,,,,,
以色列,16451 ,41 ,,,,,,,,,,,
Lebanon,809 ,12 ,,,,,,,,,,,
Iraq,2679 ,64 ,,,,,,,,,,,
Kuwait,7623 ,440 ,,,,,,,,,,,
Bahrain,4774 ,232 ,,,,,,,,,,,
Afghanistan,4033 ,222 ,,,,,,,,,,,
Oman,3224 ,109 ,,,,,,,,,,,
South Georgia and the Islands,626 ,6 ,,,,,,,,,,,
Pakistan,28736 ,1442 ,,,,,,,,,,,
Azerbaijan,2422 ,82 ,,,,,,,,,,,
Qatar,21331 ,963 ,,,,,,,,,,,
Armenia,3175 ,132 ,,,,,,,,,,,
Indonesia,13645 ,409 ,,,,,,,,,,,
Jordan,522 ,10 ,,,,,,,,,,,
Saudi Arabia,37136 ,1688 ,,,,,,,,,,,
Bhutan,7 ,0 ,,,,,,,,,,,
巴勒斯坦,547 ,5 ,,,,,,,,,,,
Maldives,790 ,44 ,,,,,,,,,,,
Bangladesh,13770 ,719 ,,,,,,,,,,,
Mongolia,42 ,1 ,,,,,,,,,,,
Brunei Darussalam,141 ,1 ,,,,,,,,,,,
Cyprus,892 ,3 ,,,,,,,,,,,
Turkey,137115 ,1845 ,,,,,,,,,,,
Kazakhstan,4975 ,176 ,,,,,,,,,,,
Uzbekistan,2349 ,33 ,,,,,,,,,,,
Kyrgyzstan,931 ,23 ,,,,,,,,,,,
North Korea,,,,,,,,,,,,,
Myanmar,178 ,4 ,,,,,,,,,,,
Laos,19 ,,,,,,,,,,,,
East Timor,24 ,,,,,,,,,,,,
Tajikistan,612 ,81 ,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,
Syria,47 ,1 ,,,,,,,,,,,
Yemen,34 ,4 ,,,,,,,,,,,
Germany,172075 ,959 ,,,,,,,,,,,
United Kingdom,216526 ,4781 ,,,,,,,,,,,
France,176782 ,1310 ,,,,,,,,,,,
Italy,218268 ,1259 ,,,,,,,,,,,
Russia,198679 ,10665 ,,,,,,,,,,,
Spain,262783 ,2610 ,,,,,,,,,,,
Sweden,25981 ,594 ,,,,,,,,,,,
Finland,5880 ,104 ,,,,,,,,,,,
Belgium,52596 ,448 ,,,,,,,,,,,
Austria,15833 ,39 ,,,,,,,,,,,
Croatia,2176 ,13 ,,,,,,,,,,,
Switzerland,30251 ,58 ,,,,,,,,,,,
Greece,2710 ,14 ,,,,,,,,,,,
Norway,8099 ,42 ,,,,,,,,,,,
Macedonia,1622 ,19 ,,,,,,,,,,,
Romania,15131 ,328 ,,,,,,,,,,,
Denmark,10517 ,133 ,,,,,,,,,,,
Estonia,1733 ,6 ,,,,,,,,,,,
Netherlands,42581 ,302 ,,,,,,,,,,,
San Marino,637 ,9 ,,,,,,,,,,,
Lithuania,1444 ,6 ,,,,,,,,,,,
Belarus,22052 ,891 ,,,,,,,,,,,
Iceland,1801 ,0 ,,,,,,,,,,,
Monaco,96 ,0 ,,,,,,,,,,,
Ireland,22760 ,209 ,,,,,,,,,,,
Luxembourg,3877 ,9 ,,,,,,,,,,,
Czech Republic,8095 ,52 ,,,,,,,,,,,
Portugal,27406 ,354 ,,,,,,,,,,,
Andorra,754 ,1 ,,,,,,,,,,,
Latvia,930 ,9 ,,,,,,,,,,,
Ukraine,14710 ,466 ,,,,,,,,,,,
Poland,15651 ,326 ,,,,,,,,,,,
Liechtenstein,82 ,0 ,,,,,,,,,,,
Slovenia,1454 ,3 ,,,,,,,,,,,
Hungary,3213 ,36 ,,,,,,,,,,,
Bosnia,2090 ,39 ,,,,,,,,,,,
Republic of Serbia,10032 ,95 ,,,,,,,,,,,
Vatican,12 ,0 ,,,,,,,,,,,
Bulgaria,1921 ,51 ,,,,,,,,,,,
Malta,490 ,2 ,,,,,,,,,,,
Slovakia,1455 ,8 ,,,,,,,,,,,
Moldova,4867 ,124 ,,,,,,,,,,,
Albania,856 ,10 ,,,,,,,,,,,
Montenegro,324 ,0 ,,,,,,,,,,,
Faroe Islands,120 ,12 ,,,,,,,,,,,
Egypt,8964 ,417 ,,,,,,,,,,,
Algeria,5558 ,181 ,,,,,,,,,,,
Nigeria,4151 ,266 ,,,,,,,,,,,
Morocco,5910 ,168 ,,,,,,,,,,,
Tunisia,1032 ,3 ,,,,,,,,,,,
Senegal,1634 ,75 ,,,,,,,,,,,
South Africa,9420 ,440 ,,,,,,,,,,,
Cameroon,2274 ,33 ,,,,,,,,,,,
Togo,153 ,5 ,,,,,,,,,,,
Burkina Faso,748 ,14 ,,,,,,,,,,,
Democratic Republic of the Congo,991 ,52 ,,,,,,,,,,,
Ivory Coast,1667 ,45 ,,,,,,,,,,,
Ghana,4263 ,349 ,,,,,,,,,,,
Gabon,661 ,54 ,,,,,,,,,,,
Kenya,649 ,31 ,,,,,,,,,,,
